ชื่อสถานที่/บุคคล/กลุ่ม/เครือข่าย/องค์กร ที่มีการดำเนินงานด้านอาหารปลอดภัย,กิจกรรมในระบบห่วงโซ่อาหารที่ดำเนินงานอยู่,ข้อมูลโดยละเอียดของกิจกรรมในคำถามข้างต้น,งานส่งเสริมระบบอาหารที่ดำเนินงานอยู่,ข้อมูลโดยละเอียดของงานส่งเสริมในคำถามข้างต้น,ระดับคุณภาพอาหารของกิจกรรมในคำถามข้างต้น,ละติจูด,ลองจิจูด,ประเภท,บทบาท
ปฐม (Patom) Organic Living,"การแปรรูป, การตลาด-จัดจำหน่าย, การสื่อสาร-สร้างการรับรู้, การบริการอาหาร (Food Service)","ร้านอาหารและคาเฟ่ที่ใช้วัตถุดิบอินทรีย์จากเครือข่ายสามพรานโมเดล จำหน่ายผลิตภัณฑ์ออร์แกนิก (สบู่ แชมพู ฯลฯ) เน้นการดำเนินธุรกิจอย่างยั่งยืน","งานส่งเสริมการสื่อสารสร้างความรู้ความเข้าใจ","สื่อสารเรื่องราวของเกษตรอินทรีย์และวิถีชีวิตยั่งยืนผ่านผลิตภัณฑ์และบริการของร้าน เชื่อมโยงผู้บริโภคในเมืองกับเกษตรกร","เกษตรอินทรีย์ (มีตรารับรอง)",13.7346,100.21856,Private,"ผู้จำหน่าย (Distributor), ผู้บริการอาหาร (Food Service Provider)"
โรงแรมสามพราน ริเวอร์ไซด์,"การบริการอาหาร (Food Service), การสื่อสาร-สร้างการรับรู้, การจัดการขยะอาหาร (Food Waste Management)","ใช้วัตถุดิบอินทรีย์จากเครือข่ายสามพรานโมเดลในการประกอบอาหารสำหรับแขกที่พักและงานจัดเลี้ยง มีการจัดการขยะอาหารโดยนำไปทำปุ๋ยหมัก","งานส่งเสริมการสื่อสารสร้างความรู้ความเข้าใจ, งานส่งเสริมด้านนโยบาย","เป็นองค์กรนำร่องในการสนับสนุนสามพรานโมเดล จัดซื้อผลผลิตอินทรีย์จากเกษตรกร และสร้างการตระหนักรู้แก่พนักงานและลูกค้า","เกษตรอินทรีย์ (มีตรารับรอง)",13.7346,100.21856,Private,"ผู้บริโภค (Consumer), ผู้บริการอาหาร (Food Service Provider)"
สวนคุณรณภูมิ,"การผลิต, การแปรรูป, การตลาด-จัดจำหน่าย","ทำเกษตรอินทรีย์แบบผสมผสาน ปลูกไม้ผล (มะม่วง กล้วย ฝรั่ง) พืชผัก แปรรูปผลผลิต (เช่น กล้วยตาก มะม่วงกวน) จำหน่ายออนไลน์และหน้าสวน","งานส่งเสริมด้านทักษะ-พัฒนาศักยภาพ","เป็นแหล่งเรียนรู้การทำเกษตรอินทรีย์และเกษตรทฤษฎีใหม่ เปิดรับผู้สนใจเข้าศึกษาดูงาน","เกษตรอินทรีย์ (ไม่มีตรารับรอง)",13.91617,100.04351,Private,"ผู้ผลิต (Producer), ผู้จำหน่าย (Distributor)"
โรงเรียนวัดสระขุด,"การจัดการทรัพยากร, การผลิต, การบริโภค-รับซื้อผลผลิต","ทำแปลงเกษตรอินทรีย์ในโรงเรียน ปลูกผัก เลี้ยงไก่ไข่ เพาะเห็ด นำผลผลิตมาใช้ในโครงการอาหารกลางวัน","งานส่งเสริมการสื่อสารสร้างความรู้ความเข้าใจ, งานส่งเสริมด้านทักษะ-พัฒนาศักยภาพ","ส่งเสริมให้นักเรียนเรียนรู้การทำเกษตรอินทรีย์ ปลูกฝังค่านิยมการบริโภคอาหารปลอดภัย และขยายผลสู่ผู้ปกครองและชุมชน","เกษตรอินทรีย์ (ไม่มีตรารับรอง)",13.92751,100.12643,School,"ผู้ผลิต (Producer), ผู้บริโภค (Consumer)"
โรงพยาบาลดอนตูม,"การผลิต, การบริโภค-รับซื้อผลผลิต, การจัดการขยะอาหาร (Food Waste Management)","รับซื้อพืชผักอินทรีย์/ปลอดภัยจากเครือข่ายเกษตรกรในพื้นที่เพื่อนำมาประกอบอาหารให้ผู้ป่วย มีแปลงผักอินทรีย์ในโรงพยาบาล","งานส่งเสริมการสื่อสารสร้างความรู้ความเข้าใจ, งานส่งเสริมด้านนโยบาย","ส่งเสริมให้บุคลากรและผู้ป่วยตระหนักถึงความสำคัญของอาหารปลอดภัย สนับสนุนเกษตรกรในพื้นที่ให้ทำเกษตรอินทรีย์","อาหารปลอดภัย (GAP/อื่นๆ)",13.9722,100.07684,Government Organization,"ผู้บริโภค (Consumer), ผู้ผลิต (Producer)"
ชุมชนบ้านดอนตูม,"การผลิต, การแปรรูป, การตลาด-จัดจำหน่าย","มีการรวมกลุ่มปลูกผักปลอดภัยและผักอินทรีย์ แปรรูปผลผลิต (เช่น น้ำพริก เครื่องแกง) จำหน่ายในชุมชนและตลาดใกล้เคียง","งานส่งเสริมด้านทักษะ-พัฒนาศักยภาพ, งานขับเคลื่อนเครือข่าย","ส่งเสริมการรวมกลุ่มของเกษตรกร แลกเปลี่ยนความรู้เรื่องการปลูกและแปรรูป จัดหาช่องทางจำหน่ายร่วมกัน","อาหารปลอดภัย (GAP/อื่นๆ)",13.9745,100.0801,Other,"ผู้ผลิต (Producer), ผู้จำหน่าย (Distributor)"
โรงพยาบาลกำแพงแสน,"การบริโภค-รับซื้อผลผลิต, การจัดการขยะอาหาร (Food Waste Management)","มีนโยบายโรงพยาบาลอาหารปลอดภัย รับซื้อพืชผักปลอดภัยจากเกษตรกรเครือข่าย นำมาประกอบอาหารให้ผู้ป่วยและบุคลากร","งานส่งเสริมด้านนโยบาย, งานส่งเสริมการสื่อสารสร้างความรู้ความเข้าใจ","ขับเคลื่อนนโยบายอาหารปลอดภัยในโรงพยาบาล รณรงค์ให้ความรู้เรื่องโภชนาการและการบริโภคอาหารปลอดภัยแก่ผู้ป่วยและประชาชน","อาหารปลอดภัย (GAP/อื่นๆ)",14.0252,99.98351,Government Organization,"ผู้บริโภค (Consumer)"
โรงเรียนกำแพงแสนวิทยา,"การผลิต, การบริโภค-รับซื้อผลผลิต, การจัดการขยะอาหาร (Food Waste Management)","มีแปลงเกษตรอินทรีย์ ปลูกผักปลอดสารพิษ นำผลผลิตเข้าสู่โครงการอาหารกลางวัน มีการคัดแยกขยะอาหารไปทำปุ๋ยหมัก","งานส่งเสริมการสื่อสารสร้างความรู้ความเข้าใจ, งานส่งเสริมด้านทักษะ-พัฒนาศักยภาพ","บูรณาการเรื่องอาหารปลอดภัยและเกษตรอินทรีย์เข้ากับการเรียนการสอน ให้นักเรียนลงมือปฏิบัติจริง","เกษตรอินทรีย์ (ไม่มีตรารับรอง)",14.0286,99.9882,School,"ผู้ผลิต (Producer), ผู้บริโภค (Consumer)"
ตลาดน้ำลำพญา,"การกระจาย, การตลาด-จัดจำหน่าย, การสื่อสาร-สร้างการรับรู้","ตลาดน้ำชื่อดัง มีการจัดโซนจำหน่ายสินค้าเกษตรปลอดภัยและเกษตรอินทรีย์จากเกษตรกรในพื้นที่ เป็นช่องทางกระจายสินค้าสู่ผู้บริโภค","งานขับเคลื่อนเครือข่าย, งานส่งเสริมการสื่อสารสร้างความรู้ความเข้าใจ","สนับสนุนพื้นที่จำหน่ายให้แก่เกษตรกร ส่งเสริมการท่องเที่ยวเชิงเกษตร และสร้างรายได้ให้ชุมชน","อาหารปลอดภัย (GAP/อื่นๆ)",13.95594,100.20456,Other,"พื้นที่จำหน่าย (Marketplace)"
กลุ่มเกษตรกรทำนาหนองงูเหลือม,"การผลิต, การแปรรูป, การตลาด-จัดจำหน่าย","รวมกลุ่มทำนาข้าวปลอดภัย/อินทรีย์ มีโรงสีชุมชน แปรรูปข้าวสารและผลิตภัณฑ์จากข้าว จำหน่ายทั้งปลีกและส่ง","งานส่งเสริมด้านทักษะ-พัฒนาศักยภาพ, งานส่งเสริมด้านองค์ความรู้ (ระบบการผลิต ระบบการกระจาย การบริโภคอาหารเพื่อสุขภาวะ)","ส่งเสริมการลดต้นทุนการผลิต การใช้ปุ๋ยชีวภาพ การทำนาแบบเปียกสลับแห้ง และการเพิ่มมูลค่าผลผลิต","อาหารปลอดภัย (GAP/อื่นๆ)",13.8864,100.0152,Other,"ผู้ผลิต (Producer), ผู้จำหน่าย (Distributor)"
